search_area,business_name,owner_name,address,city,state,phone,email,website_status,google_rating,review_count,date_found,notes
Country Club Hills,"Monster Construction Inc",Robert Moore,"17890 Country Club Ln",Country Club Hills,IL,(708) 529-9365,,no_website,,,2026-09-19,"Founded 2008; roofing tear-offs/re-roofs plus general remodeling; BBB A+ rated; no business website found"
Matteson,Roofing Repair,,"4431 211th St",Matteson,IL,(708) 441-6886,,no_website,,,2026-09-19,"Small local roofing business listed only on Yelp/Yahoo Local under generic name; no dedicated website found"
Bellwood,"Leon's Roofing & Landscaping",Alex Leon,"PO Box 534",Bellwood,IL,(708) 547-0140,,no_website,,,2026-09-19,"Small local roofing/landscaping; not BBB accredited; no company website or online reviews found"
Brookfield,"Frait Roofing Co",,"3720 Arthur Ave",Brookfield,IL,(708) 387-9272,,no_website,,,2026-09-19,"Long-running small local roofer; customer review calls work honest and well priced; no website found"
La Grange,"Schuler Roofing Co",Chris Schuler,"6831 Sunset Ave",La Grange,IL,(708) 354-3995,,no_website,,,2026-09-19,"Family roofer since 1984; 5.0 rating with 5 reviews on Angi; no company website found"
La Grange,"Gorgol Roofing Co - A.J.",,"2001 56th Street",La Grange,IL,(708) 784-1300,,no_website,,,2026-09-19,"Small local roofer with positive customer feedback on directories; no company website found"
Kankakee,"Camelot Roofing",,"396 S Center Ave",Bradley,IL,(815) 936-9990,,no_website,,,2026-09-19,"30+ yrs serving Kankakee County; licensed/bonded; listed only on directories; no company website found"
Kankakee,"Tom's Affordable Roofing",Tom Sternquist,"1405 N Arthur Burch Dr",Bourbonnais,IL,(708) 785-9354,,no_website,,,2026-09-19,"Owner has 35+ yrs experience; serves Kankakee area; found only on Yelp/Yellow Pages; no company website"
Joliet,"Imperial Roofing",,"1132 Collins St",Joliet,IL,(815) 722-7400,afranchini@hotmail.com,poor_website,,,2026-09-19,"24 yrs in business; BBB A+; Yelp 2.5 stars/8 reviews; site is bare hub.biz directory page not a real website"
East Chicago,"R5 Roofing And Construction",,,,IN,(219) 266-6596,,no_website,,,2026-09-19,"Found via Nextdoor business listing; no independent company website located"
East Chicago,"Monarca Roofing & Exteriors",,"2002 E Columbus Dr",East Chicago,IN,(219) 666-4616,,no_website,,,2026-09-19,"Yelp and Facebook presence only; also serves Highland IN; no company website located"
Gary,"Lopez Roofing",,,,IN,(219) 613-4547,,no_website,,,2026-09-19,"Offers roof repair and gutter cleaning; Yelp listing only; no website found"
